ID,Title,Production Company,Distributor,Director,Writer,Actor1,Actor2,Actor3
59,The Laughing Policeman,Twentieth Century Fox Film Corporation,American Broadcasting Company (ABC),Stuart Rosenberg,Thomas Rickman,Walter Matthau,Bruce Dern,Louis Gossett Jr.
60,Freebie and the Bean,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit
61,Herbie Rides Again,Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Helen Hayes,Ken Berry,Stefanie Powers
62,The Conversation,American Zoetrope,Paramount Pictures,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield
63,The Towering Inferno,Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden
64,Family Plot,Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black,Bruce Dern,Barbara Harris
65,The Enforcer,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino
66,High Anxiety,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,Cloris Leachman
67,A Night Full of Rain,Liberty Film,Warner Bros. Pictures,Lina Wertmuller,Lina Wertmuller,Candice Bergen,Giancarlo Gianni,
68,Attack of the Killer Tomatoes,Four Square Productions,NAI Entertainment,John DeBello,John DeBello,David Miller,,
69,Faces of Death,F.O.D Productions,Aquarius Releasing,Conan Le Cilaire,Alan Black,Michael Carr,,
70,Foul Play,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith
71,Invasion of the Body Snatchers,Solofilm,United Artists,Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
72,Superman,Dovemead Films,Warner Bros. Pictures,Richard Donner,Jerry Siegel,Christopher Reeve,Gene Hackman,Marlon Brando
73,Escape From Alcatraz,Paramount Pictures,Paramount Pictures,Donald Siegel,Richard Tuggle,Clint Eastwood,Patrick McGoohan,Robert Blossom
74,Time After Time,Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner
75,Can't Stop the Music,EMI Films,Associated Film Distribution (AFD),Nancy Walker,Allan Carr,Ray Simpson,David Hodo,Felipe Rose
76,Heart Beat,Orion Pictures Corporation,Orion Pictures Corporation,John Byrum,John Byrum,Nick Nolte,Sissy Spacek,John Heard
77,Nine to Five,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Colin Higgins,Colin Higgins,Jane Fonda,Lily Tomlin,Dolly Parton
78,Serial,Paramount Pictures,Paramount Pictures,Bill Persky,Rich Eustis,Martin Mull,Tuesday Weld,
79,The Competition,Columbia Pictures Corporation,American Broadcasting Company (ABC),Joel Oliansky,Joel Oliansky,Richard Dreyfuss,Amy Irving,Lee Remick
80,Chu Chu and the Philly Flash,Melvin Simon Productions,Columbia Broadcasting System (CBS),David Lowell Rich,Barbara Dana,Alan Arkin,Carol Burnett,
81,Street Music,Pacificon Films,Specialty Films,Jenny Bowen,Jenny Bowen,Elizabeth Daily,Larry Breeding,Ned Glass
82,48 Hours,Paramount Pictures,Paramount Pictures,Walter Hill,Walter Hill,Nick Nolte,Eddie Murphy,Annette O'Toole
83,Chan is Missing,New Yorker Films,New Yorker Films,Wayne Wang,Wayne Wang,Wood Moy,Marc Hayashi,Lauren Chew
84,Shoot the Moon,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Alan Parker,Bo Goldman,Albert Finney,Diane Keaton,
85,Star Trek II : The Wrath of Khan,Paramount Pictures,Paramount Pictures,Nicholas Meyer,Jack B. Sowards,William Shatner,Leonard Nimoy,George Takei
86,Sudden Impact,Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,
